Name,Bottom (ft),Top (ft),Vertical Drop (ft),Length (mi),URL,difficulty,resort_name,distance,metric,Average Steepness
  South Chute #3 ,11614 ft,11837 ft,223,0.12 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.12,mi,0.3519570707070707
  South Chute #4 ,11627 ft,11883 ft,259,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.15,mi,0.32702020202020204
  South Chute #5 ,11640 ft,11929 ft,289,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.2,mi,0.27367424242424243
  Spillway ,11631 ft,11854 ft,223,0.12 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.12,mi,0.3519570707070707
  Straight Flush ,11440 ft,11831 ft,390,0.27 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.27,mi,0.2735690235690235
  Sunburst Bowl ,11880 ft,12185 ft,305,0.39 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.39,mi,0.1481157731157731
  Switchback ,10643 ft,11450 ft,807,0.63 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.63,mi,0.2426046176046176
  Telestar ,11916 ft,12182 ft,266,0.21 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.21,mi,0.23989898989898992
  Tempest ,11319 ft,11686 ft,371,0.33 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.33,mi,0.2129247015610652
  Tickler Gulch ,11545 ft,11955 ft,410,0.47 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.47,mi,0.1652159896840748
  Tomahawk ,11457 ft,11706 ft,249,0.13 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.13,mi,0.36276223776223776
  Twist ,10827 ft,11421 ft,594,0.4 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.4,mi,0.28125
  Waterfall ,11532 ft,11775 ft,246,0.12 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.12,mi,0.38825757575757575
  Zip Basin Street ,11270 ft,12123 ft,853,0.65 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.65,mi,0.24854312354312355
  Zip Trail ,11263 ft,11900 ft,633,0.78 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.78,mi,0.15370046620046618
  Zippity Split ,11463 ft,12119 ft,659,0.98 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.98,mi,0.12735776128633272
  Busy Gully ,10886 ft,11345 ft,459,0.21 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.21,mi,0.413961038961039
  Castle Rock ,12123 ft,12674 ft,551,0.44 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.44,mi,0.23717286501377413
  Cat's Meow ,10889 ft,11516 ft,627,0.31 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.31,mi,0.38306451612903225
  Catwalk Trees ,11608 ft,11837 ft,233,380 ft,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.07196969696969698,ft,0.613157894736842
  Challenger ,12139 ft,12480 ft,341,0.23 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.23,mi,0.28079710144927533
  Fail Safe Tree #1 ,11230 ft,11499 ft,266,0.11 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.11,mi,0.4579889807162535
  Fail Safe Tree #2 ,11266 ft,11624 ft,358,0.16 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.16,mi,0.42376893939393934
  Fail Safe Tree #3 ,11404 ft,11693 ft,289,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.15,mi,0.3648989898989899
  Field of Dreams ,12365 ft,12762 ft,397,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.3,mi,0.25063131313131315
  Holy Cat ,10886 ft,11493 ft,607,0.28 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.28,mi,0.4105790043290043
  Hook 'em Horns ,11463 ft,11867 ft,404,0.24 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.24,mi,0.3188131313131313
  In The Mood ,11535 ft,11975 ft,440,0.25 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.25,mi,0.3333333333333333
  Jelly Roll ,11975 ft,12365 ft,390,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.2,mi,0.3693181818181818
  North Star ,12149 ft,12510 ft,361,0.24 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.24,mi,0.2848800505050505
  Porcupine Saddle ,11919 ft,12398 ft,479,0.42 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.42,mi,0.2159992784992785
  Primer Bowl ,12123 ft,12638 ft,515,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.3,mi,0.32512626262626265
  Splashdown ,11119 ft,11437 ft,318,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.2,mi,0.30113636363636365
  Sunburst Chute #1 ,11467 ft,11804 ft,341,0.18 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.18,mi,0.3587962962962963
  Sunburst Chute #2 ,11457 ft,11736 ft,279,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.15,mi,0.3522727272727273
  The Face ,11001 ft,11250 ft,249,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.15,mi,0.3143939393939394
  The Plunge ,11952 ft,12103 ft,148,0.12 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.12,mi,0.2335858585858586
  Tiger's Tail ,11437 ft,11877 ft,436,0.22 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.22,mi,0.37534435261707993
  Avalanche Bowl ,11407 ft,11880 ft,472,0.14 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.14,mi,0.6385281385281385
  East Ropes ,11161 ft,11490 ft,325,0.11 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.11,mi,0.559573002754821
  Marmot ,12129 ft,12858 ft,725,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.3,mi,0.4577020202020202
  No. 4 Headwall ,11821 ft,12060 ft,240,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.15,mi,0.30303030303030304
  Over the Rainbow ,10866 ft,11880 ft,1014,0.36 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.36,mi,0.533459595959596
  Patrol Bowl ,12113 ft,12635 ft,522,0.33 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.33,mi,0.29958677685950413
  Rainbow ,10876 ft,11296 ft,417,0.17 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.17,mi,0.46457219251336895
  Rock Chutes ,12231 ft,12454 ft,220,313 ft,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.05928030303030303,ft,0.7028753993610224
  Super Bowl ,11998 ft,12493 ft,492,0.23 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.23,mi,0.4051383399209486
  Super Nova ,12270 ft,12546 ft,276,0.11 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.11,mi,0.47520661157024796
  Tickler ,12064 ft,12290 ft,226,367 ft,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.06950757575757575,ft,0.6158038147138964
  Velvet Hammer ,12297 ft,12687 ft,390,0.16 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.16,mi,0.46164772727272724
  West Ropes ,11329 ft,11588 ft,262,507 ft,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.09602272727272727,ft,0.5167652859960552
  Wild Child ,12064 ft,12444 ft,381,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.2,mi,0.36079545454545453
  Zoom ,10879 ft,11388 ft,512,0.22 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.22,mi,0.44077134986225897
  Chair 6 Terrain Park ,11785 ft,11870 ft,85,0.12 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-blue,blue,loveland-ski-area,0.12,mi,0.1341540404040404
  All Smiles ,10643 ft,10778 ft,135,0.19 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.19,mi,0.13456937799043062
  Boomerang ,10640 ft,10984 ft,344,0.36 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.36,mi,0.18097643097643099
  Cat Walk ,11614 ft,11867 ft,256,0.32 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.32,mi,0.1515151515151515
  Deuces Wild ,11555 ft,11873 ft,318,0.29 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.29,mi,0.2076802507836991
  Fail Safe ,11339 ft,11476 ft,141,0.21 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.21,mi,0.12716450216450217
  Fire Bowl ,11575 ft,11995 ft,420,0.44 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.44,mi,0.18078512396694216
  Forest Meadow ,11322 ft,11552 ft,230,0.37 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.37,mi,0.11773136773136773
  Homerun ,10899 ft,11155 ft,256,0.33 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.33,mi,0.14692378328741965
  Lower Creek Trail ,11138 ft,11407 ft,272,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.3,mi,0.1717171717171717
  Mambo ,11158 ft,11611 ft,449,0.37 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.37,mi,0.22983210483210484
  North Turtle Creek ,11339 ft,11565 ft,226,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.2,mi,0.21401515151515152
  South Turtle Creek ,11358 ft,11552 ft,194,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.2,mi,0.18371212121212122
  Take Off ,10646 ft,10774 ft,128,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.2,mi,0.12121212121212122
  Tango Road ,10902 ft,11096 ft,194,0.34 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.34,mi,0.10806595365418895
  Turtle Creek ,11099 ft,11352 ft,256,0.34 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.34,mi,0.14260249554367202
  Upper Creek Trail ,11421 ft,11768 ft,348,0.31 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.31,mi,0.2126099706744868
  Zig Zag ,10709 ft,11486 ft,778,0.91 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.91,mi,0.1619214119214119
  Apollo ,11781 ft,12188 ft,407,0.44 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.44,mi,0.17518939393939395
  Awesome ,11309 ft,12126 ft,820,0.98 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.98,mi,0.15847247990105134
  Bennett's Bowl ,11670 ft,11998 ft,328,0.38 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.38,mi,0.16347687400318978
  Blackjack ,11276 ft,11437 ft,161,0.18 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.18,mi,0.16940235690235692
  Chet's Run ,11549 ft,12113 ft,564,0.44 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.44,mi,0.24276859504132234
  Dealer's Choice ,11562 ft,11864 ft,305,0.39 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.39,mi,0.1481157731157731
  Double Dip ,10948 ft,11388 ft,443,0.24 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.24,mi,0.34958964646464646
  Drifter ,11276 ft,11650 ft,374,0.32 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.32,mi,0.22135416666666666
  Excelleration ,11424 ft,11699 ft,276,0.22 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.22,mi,0.23760330578512398
  Fire Cut ,11247 ft,11699 ft,453,0.34 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.34,mi,0.25233957219251335
  Keno ,11460 ft,11814 ft,354,0.31 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.31,mi,0.21627565982404692
  Mercury ,11850 ft,12188 ft,338,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.3,mi,0.21338383838383837
  Nix Nox ,10974 ft,11601 ft,627,0.37 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.37,mi,0.32094594594594594
  North Blackjack ,11476 ft,11821 ft,348,0.27 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.27,mi,0.24410774410774408
  North Chute #1 ,11473 ft,11739 ft,262,0.14 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.14,mi,0.35443722943722944
  North Chute #2 ,11552 ft,11804 ft,253,0.13 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.13,mi,0.3685897435897436
  North Chute #3 ,11611 ft,11883 ft,272,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.15,mi,0.3434343434343434
  Our Bowl ,11696 ft,12060 ft,367,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.2,mi,0.3475378787878788
  Perfect Bowl ,11516 ft,11913 ft,397,0.24 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.24,mi,0.3132891414141414
  Poma Line ,11217 ft,11709 ft,489,0.35 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.35,mi,0.26461038961038963
  Richard's Run ,11093 ft,11824 ft,732,0.49 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.49,mi,0.28293135435992584
  Rookie Road ,11919 ft,12684 ft,764,0.82 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.82,mi,0.176459719142646
  Roulette ,11312 ft,11857 ft,541,0.44 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.44,mi,0.2328684573002755
  Royal Flush ,11499 ft,11860 ft,361,0.28 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.28,mi,0.24418290043290042
  Scrub ,11115 ft,11480 ft,361,0.18 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.18,mi,0.37984006734006737
  South Blackjack ,11450 ft,11827 ft,374,0.36 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.36,mi,0.19675925925925927
  South Chute #1 ,11509 ft,11709 ft,197,0.11 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.11,mi,0.3391873278236915
  South Chute #2 ,11529 ft,11814 ft,285,0.13 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.13,mi,0.4152097902097902
  South Chute #3 ,11614 ft,11837 ft,223,0.12 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.12,mi,0.3519570707070707
  South Chute #4 ,11627 ft,11883 ft,259,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-black,black,loveland-ski-area,0.15,mi,0.32702020202020204
